id_case,POST_vote,POST_president,PRE_present_religion,PRE_age,PRE_education,PRE_race,PRE_sex,PRE_occupation
207436,1,1,1,50,5,1,1,1
207443,1,1,3,46,5,1,1,1
207450,1,1,12,52,3,2,1,5
207467,1,2,11,35,3,1,2,8
207474,1,1,1,76,3,1,1,5
207481,1,1,10,63,3,1,2,1
207511,1,1,1,39,4,3,1,1
207528,1,2,6,28,4,4,1,1
207542,1,2,1,66,3,1,1,1
207559,1,1,1,45,5,1,2,1
207566,1,1,1,69,5,1,1,1
207573,-1,-1,1,59,1,1,1,1
207597,1,1,1,79,3,1,1,5
207603,1,2,12,80,3,1,2,5
207610,1,1,9,38,4,1,1,1
207627,1,1,1,74,-2,1,2,5
207634,-1,-1,1,54,3,2,2,1
207641,1,1,10,45,5,1,2,1
207658,1,1,12,42,3,1,2,1
207665,1,2,1,75,4,1,1,5
207672,1,2,12,33,2,1,2,1
207689,1,1,12,40,3,3,1,6
207696,1,2,3,56,3,1,2,1
207702,1,2,10,44,3,1,1,1
207719,1,1,2,80,2,3,2,5
207726,1,1,12,25,3,1,2,1
207733,-1,-1,2,26,2,1,1,1
207740,1,1,10,75,4,1,1,5
207757,1,1,1,68,2,1,2,1
207764,-1,-1,12,27,3,1,1,1
207771,1,1,2,46,3,3,2,1
207788,-1,-1,1,71,3,1,1,5
207795,1,1,12,49,5,1,2,1
207818,1,-9,12,57,2,2,1,1
207825,1,1,1,80,4,1,2,5
207832,1,2,1,66,3,1,2,1
207849,1,2,4,43,3,3,2,1
207856,1,2,11,55,3,1,2,1
207863,-1,-1,1,64,5,1,1,1
207870,1,1,12,80,5,1,1,5
207887,1,1,2,57,3,5,2,1
207894,1,1,11,32,3,2,2,1
207900,1,2,12,53,2,1,1,1
207924,1,2,2,68,4,1,2,5
207931,1,1,1,67,4,1,2,1
207948,-6,-6,12,26,4,1,2,1
207955,1,1,11,50,1,2,2,1
207962,-1,-1,12,33,3,5,2,1
207979,1,2,4,58,4,1,2,1
207986,1,1,9,36,-2,1,2,1
207993,-1,-1,11,46,2,2,2,5
208002,-1,-1,11,30,2,6,2,8
208019,1,1,12,78,5,1,1,5
208026,-1,-1,12,70,1,2,2,6
208033,1,2,11,53,3,1,2,1
208040,1,1,1,59,5,6,2,1
208057,1,2,1,39,4,1,1,1
208088,1,1,1,46,3,6,2,1
208095,-1,-1,1,69,1,1,2,6
208101,1,2,11,80,4,1,1,5
208132,1,1,9,31,5,1,2,1
208149,1,2,1,49,5,1,1,1
208156,1,1,2,41,3,1,1,1
208163,1,1,11,58,3,2,1,-2
208170,1,1,10,32,5,3,1,1
208187,1,1,3,22,3,3,1,1
208194,1,1,2,59,4,1,1,1
208200,1,1,2,29,4,1,1,1
208217,1,2,2,69,3,1,2,1
208231,-1,-1,12,39,3,1,1,1
208248,-1,-1,9,39,3,1,1,1
208255,-1,-1,11,64,2,1,2,6
208262,1,1,1,53,5,1,2,1
208279,1,2,1,65,2,1,1,1
208286,-1,-1,2,36,2,3,1,1
208293,1,1,1,76,5,1,2,5
208309,1,1,1,59,4,2,2,1
208316,1,2,2,51,5,4,1,4
208323,1,2,7,49,3,6,1,1
208330,1,1,12,29,4,1,1,1
208347,1,1,9,29,4,4,1,1
208354,1,2,12,47,3,3,1,1
208361,1,1,5,64,5,1,2,5
208378,1,1,6,66,3,5,1,5
208385,1,1,11,35,3,1,2,2
208408,1,2,1,80,2,1,1,1
208415,-1,-1,2,59,2,1,1,1
208422,1,2,2,74,4,1,2,5
208439,1,1,1,73,3,1,1,1
208446,-6,-6,2,29,5,3,1,2
208453,1,2,2,80,3,-9,2,7
208484,1,2,1,-9,4,3,1,1
208491,1,1,11,-9,5,1,2,1
208507,-1,-1,12,54,3,1,1,1
208514,1,2,4,-9,4,1,1,1
208521,2,-1,12,43,3,2,1,8
208538,-6,-6,11,80,1,1,2,7
208545,1,1,5,55,4,1,2,1
208552,-6,-6,2,51,5,1,2,2
208569,-1,-1,12,46,3,2,1,1
208576,1,2,1,38,5,1,2,1
208583,1,1,10,62,5,1,2,5
208590,-6,-6,2,60,3,1,1,1
208606,-7,-7,11,43,2,2,1,4
208613,1,1,2,72,3,3,1,1
208644,-6,-6,12,80,2,3,2,6
208651,2,-1,2,23,3,3,2,1
208668,1,2,1,68,4,1,1,1
208675,1,2,1,57,4,1,2,1
208682,1,2,1,-9,4,1,1,1
208705,-1,-1,11,52,1,3,1,8
208712,1,2,1,69,-2,1,2,5
